kommunenummer,kommune,fylkesnummer,fylke,aar_start,aar_slutt,folkemengde_start,folkemengde_slutt,vekst,vekst_pst,fodselsoverskudd_sum,nettoinnflytting_sum,folketilvekst_sum,restledd_sum,grenseavvik_sum,grenseavvik_maks_pst,grenseavvik_maks_aar,aar_uten_folketall,aar_med_stromtall,sammenlignbar,rangering
1576,Aure,15,Møre og Romsdal,2011,2026,3523,3371,-152,-0.04314504683508374,-174.0,21.0,-152.0,1.0,0.0,0.0,2011,0.0,15,true,250
5022,Rennebu,50,Trøndelag - Trööndelage,2011,2026,2629,2514,-115,-0.043742868010650436,-141.0,26.0,-115.0,0.0,0.0,0.0,2011,0.0,15,true,251
4618,Ullensvang,46,Vestland,2011,2026,11431,10929,-502,-0.04391566792056688,-599.0,137.0,-413.0,49.0,-89.0,0.006007890961262554,2019,0.0,15,false,
3435,Vågå,34,Innlandet,2011,2026,3718,3553,-165,-0.04437869822485207,-239.0,70.0,-165.0,4.0,0.0,0.0,2011,0.0,15,true,252
3426,Tolga,34,Innlandet,2011,2026,1684,1609,-75,-0.04453681710213777,-47.0,-27.0,-75.0,-1.0,0.0,0.0,2011,0.0,15,true,253
5607,Vadsø,56,Finnmark - Finnmárku - Finmarkku,2011,2026,6095,5808,-287,-0.04708777686628384,49.0,-334.0,-287.0,-2.0,0.0,0.0,2011,0.0,15,true,254
5516,Gratangen - Rivtták,55,Troms - Romsa - Tromssa,2011,2026,1115,1062,-53,-0.04753363228699552,-96.0,37.0,-53.0,6.0,0.0,0.0,2011,0.0,15,true,255
1825,Grane,18,Nordland - Nordlánnda,2011,2026,1487,1415,-72,-0.0484196368527236,-77.0,7.0,-72.0,-2.0,0.0,0.0,2011,0.0,15,true,256
5510,Kvæfjord,55,Troms - Romsa - Tromssa,2011,2026,3050,2901,-149,-0.04885245901639344,-93.0,-53.0,-149.0,-3.0,0.0,0.0,2011,0.0,15,true,257
3433,Skjåk,34,Innlandet,2011,2026,2299,2185,-114,-0.049586776859504134,-130.0,18.0,-114.0,-2.0,0.0,0.0,2011,0.0,15,true,258
3418,Åsnes,34,Innlandet,2011,2026,7597,7216,-381,-0.050151375542977494,-931.0,538.0,-381.0,12.0,0.0,0.0,2011,0.0,15,true,259
5534,Karlsøy,55,Troms - Romsa - Tromssa,2011,2026,2357,2235,-122,-0.05176071277047094,-181.0,59.0,-122.0,0.0,0.0,0.0,2011,0.0,15,true,260
1525,Stranda,15,Møre og Romsdal,2011,2026,4575,4333,-242,-0.052896174863387976,-118.0,-130.0,-242.0,6.0,0.0,0.0,2011,0.0,15,true,261
1815,Vega,18,Nordland - Nordlánnda,2011,2026,1270,1202,-68,-0.05354330708661417,-133.0,64.0,-68.0,1.0,0.0,0.0,2011,0.0,15,true,262
4032,Fyresdal,40,Telemark,2011,2026,1351,1274,-77,-0.05699481865284974,-98.0,22.0,-77.0,-1.0,0.0,0.0,2011,0.0,15,true,263
4220,Bygland,42,Agder,2011,2026,1239,1167,-72,-0.05811138014527845,-101.0,33.0,-72.0,-4.0,0.0,0.0,2011,0.0,15,true,264
4221,Valle,42,Agder,2011,2026,1284,1209,-75,-0.05841121495327103,-70.0,-9.0,-75.0,4.0,0.0,0.0,2011,0.0,15,true,265
3436,Nord-Fron,34,Innlandet,2011,2026,5834,5493,-341,-0.058450462804250945,-316.0,-20.0,-341.0,-5.0,0.0,0.0,2011,0.0,15,true,266
5061,Rindal,50,Trøndelag - Trööndelage,2011,2026,2061,1935,-126,-0.0611353711790393,-67.0,-61.0,-126.0,2.0,0.0,0.0,2011,0.0,15,true,267
4628,Vaksdal,46,Vestland,2011,2026,4153,3899,-254,-0.06116060679027209,-228.0,-20.0,-254.0,-6.0,0.0,0.0,2011,0.0,15,true,268
3322,Nesbyen,33,Buskerud,2011,2026,3445,3234,-211,-0.06124818577648766,-198.0,-16.0,-211.0,3.0,0.0,0.0,2011,0.0,15,true,269
1839,Beiarn,18,Nordland - Nordlánnda,2011,2026,1103,1032,-71,-0.0643699002719855,-127.0,55.0,-71.0,1.0,0.0,0.0,2011,0.0,15,true,270
1867,Bø,18,Nordland - Nordlánnda,2011,2026,2790,2609,-181,-0.06487455197132616,-355.0,173.0,-181.0,1.0,0.0,0.0,2011,0.0,15,true,271
5624,Lebesby,56,Finnmark - Finnmárku - Finmarkku,2011,2026,1336,1249,-87,-0.06511976047904192,-88.0,-1.0,-87.0,2.0,0.0,0.0,2011,0.0,15,true,272
5634,Vardø,56,Finnmark - Finnmárku - Finmarkku,2011,2026,2111,1969,-142,-0.06726669824727617,-242.0,96.0,-142.0,4.0,0.0,0.0,2011,0.0,15,true,273
3434,Lom,34,Innlandet,2011,2026,2401,2239,-162,-0.06747188671386922,-126.0,-39.0,-162.0,3.0,0.0,0.0,2011,0.0,15,true,274
3419,Våler (Innlandet),34,Innlandet,2011,2026,3882,3614,-268,-0.06903657908294693,-471.0,204.0,-268.0,-1.0,0.0,0.0,2011,0.0,15,true,275
3424,Rendalen,34,Innlandet,2011,2026,1974,1836,-138,-0.06990881458966565,-278.0,142.0,-138.0,-2.0,0.0,0.0,2011,0.0,15,true,276
1514,Sande,15,Møre og Romsdal,2011,2026,2625,2437,-188,-0.07161904761904762,-96.0,-90.0,-188.0,-2.0,0.0,0.0,2011,0.0,15,true,277
1133,Hjelmeland,11,Rogaland,2011,2026,2814,2612,-202,-0.07178393745557925,21.0,-149.0,-125.0,3.0,-77.0,0.028688524590163935,2019,0.0,15,false,
5042,Lierne,50,Trøndelag - Trööndelage,2011,2026,1406,1302,-104,-0.07396870554765292,-122.0,19.0,-104.0,-1.0,0.0,0.0,2011,0.0,15,true,278
4643,Årdal,46,Vestland,2011,2026,5601,5178,-423,-0.07552222817354044,-233.0,-193.0,-423.0,3.0,0.0,0.0,2011,0.0,15,true,279
3429,Folldal,34,Innlandet,2011,2026,1660,1525,-135,-0.08132530120481928,-139.0,1.0,-135.0,3.0,0.0,0.0,2011,0.0,15,true,280
3431,Dovre,34,Innlandet,2011,2026,2748,2523,-225,-0.08187772925764192,-200.0,-26.0,-225.0,1.0,0.0,0.0,2011,0.0,15,true,281
4639,Vik,46,Vestland,2011,2026,2758,2532,-226,-0.08194343727338652,-185.0,-45.0,-226.0,4.0,0.0,0.0,2011,0.0,15,true,282
1816,Vevelstad,18,Nordland - Nordlánnda,2011,2026,520,477,-43,-0.08269230769230769,-23.0,-21.0,-43.0,1.0,0.0,0.0,2011,0.0,15,true,283
